FID,adm1_code,name,TFR_2007,TFR_2010,TFR_2013,TFR_2015,TFR_2016
19,USA-3541,Alabama,2.07,1.87,1.79,1.83,1.82
16,USA-3563,Alaska,2.32,2.35,2.22,2.17,2.14
12,USA-3520,Arizona,2.42,2.07,1.97,1.92,1.87
47,USA-3528,Arkansas,2.2,2,1.94,1.98,1.95
13,USA-3521,California,2.2,1.95,1.84,1.79,1.77
37,USA-3522,Colorado,2.09,1.92,1.79,1.75,1.71
29,USA-3537,Connecticut,1.92,1.72,1.63,1.61,1.63
27,USA-3555,Delaware,2.12,1.94,1.79,1.81,1.78
25,USA-3556,District of Columbia,1.75,1.65,1.53,1.48,1.49
20,USA-3542,Florida,2.11,1.83,1.77,1.77,1.75
21,USA-3543,Georgia,2.25,1.96,1.86,1.85,1.82
33,USA-3517,Hawaii,2.28,2.15,2.08,1.97,1.94
2,USA-3518,Idaho,2.48,2.24,2.13,2.13,2.07
45,USA-3546,Illinois,2.04,1.88,1.79,1.81,1.78
50,USA-3547,Indiana,2.11,1.97,1.92,1.93,1.9
42,USA-3529,Iowa,2.14,2.01,2,2.01,1.99
40,USA-3530,Kansas,2.27,2.16,2.04,2.05,2
46,USA-3548,Kentucky,2.08,1.97,1.95,1.95,1.93
17,USA-3535,Louisiana,2.16,1.95,1.93,1.96,1.93
6,USA-3561,Maine,1.78,1.7,1.67,1.64,1.64
26,USA-3557,Maryland,2.05,1.89,1.79,1.8,1.79
31,USA-3513,Massachusetts,1.79,1.67,1.6,1.55,1.54
5,USA-3562,Michigan,1.91,1.85,1.83,1.81,1.79
0,USA-3514,Minnesota,2.15,1.96,1.94,1.93,1.93
18,USA-3544,Mississippi,2.28,1.96,1.88,1.87,1.87
43,USA-3531,Missouri,2.07,1.94,1.88,1.86,1.86
3,USA-3515,Montana,2.08,1.99,1.97,1.96,1.89
39,USA-3532,Nebraska,2.29,2.14,2.12,2.15,2.14
36,USA-3523,Nevada,2.42,1.96,1.86,1.86,1.83
8,USA-3538,New Hampshire,1.75,1.67,1.6,1.59,1.55
28,USA-3558,New Jersey,2.09,1.9,1.81,1.8,1.79
14,USA-3524,New Mexico,2.26,2.06,1.93,1.9,1.83
9,USA-3559,New York,1.92,1.81,1.73,1.71,1.69
23,USA-3549,North Carolina,2.14,1.91,1.82,1.82,1.79
4,USA-3516,North Dakota,2.12,2.04,2.14,2.16,2.17
7,USA-3550,Ohio,2,1.9,1.88,1.87,1.85
41,USA-3533,Oklahoma,2.22,2.11,2.04,2,1.98
32,USA-3525,Oregon,1.97,1.79,1.73,1.7,1.65
11,USA-3560,Pennsylvania,1.95,1.81,1.75,1.74,1.72
30,USA-3539,Rhode Island,1.75,1.63,1.57,1.58,1.54
22,USA-3545,South Carolina,2.14,1.88,1.8,1.79,1.75
38,USA-3534,South Dakota,2.14,2.27,2.27,2.27,2.26
48,USA-3551,Tennessee,2.1,1.88,1.85,1.85,1.82
15,USA-3536,Texas,2.39,2.16,2.07,2.07,2.02
34,USA-3526,Utah,2.62,2.45,2.34,2.29,2.24
10,USA-3540,Vermont,1.71,1.66,1.59,1.58,1.54
24,USA-3552,Virginia,2.06,1.88,1.81,1.8,1.79
1,USA-3519,Washington,2.02,1.91,1.84,1.82,1.81
49,USA-3554,West Virginia,1.92,1.83,1.86,1.78,1.74
44,USA-3553,Wisconsin,2.01,1.89,1.84,1.85,1.84
35,USA-3527,Wyoming,2.28,2.04,1.99,2.01,1.93
